time,cluster_id,back_cluster_id,num_correct,num_wrong,total,order
5000,5000_5,none,25,0,25,0
5000,5000_4,none,424,0,424,1
5000,5000_6,none,98,0,98,2
5000,5000_3,none,514,0,514,3
5000,5000_7,none,257,0,257,4
5000,5000_0,none,166,0,166,5
5000,5000_8,none,673,0,673,6
5000,5000_2,none,398,0,398,7
5000,5000_1,none,445,0,445,8
10000,10000_1,5000_1,0,719,719,15
10000,10000_0,5000_8,0,1126,1126,12
10000,10000_3,5000_7,3,0,3,11
10000,10000_2,5000_3,160,0,160,10
10000,10000_5,5000_4,0,41,41,9
10000,10000_4,5000_1,0,35,35,16
10000,10000_7,5000_2,0,51,51,14
10000,10000_6,5000_8,0,856,856,13
10000,10000_8,5000_1,0,9,9,17
15000,15000_1,10000_5,34,23,57,18
15000,15000_0,10000_6,965,91,1056,23
15000,15000_3,10000_0,38,725,763,21
15000,15000_2,10000_0,25,1013,1038,20
15000,15000_5,10000_7,0,4,4,24
15000,15000_4,10000_0,0,8,8,22
15000,15000_7,10000_4,0,57,57,26
15000,15000_6,10000_7,0,2,2,25
15000,15000_8,10000_2,15,0,15,19
20000,20000_1,15000_2,22,1325,1347,29
20000,20000_0,15000_3,4,56,60,31
20000,20000_3,15000_5,0,28,28,34
20000,20000_2,15000_7,0,65,65,35
20000,20000_5,15000_1,15,11,26,27
20000,20000_4,15000_2,22,1215,1237,30
20000,20000_7,15000_4,0,3,3,33
20000,20000_6,15000_1,111,0,111,28
20000,20000_8,15000_3,2,121,123,32
25000,25000_1,20000_1,345,624,969,39
25000,25000_0,20000_1,292,498,790,38
25000,25000_3,20000_8,11,9,20,42
25000,25000_2,20000_1,323,669,992,40
25000,25000_5,20000_7,0,9,9,43
25000,25000_4,20000_2,0,80,80,44
25000,25000_7,20000_0,0,11,11,41
25000,25000_6,20000_5,0,10,10,36
25000,25000_8,20000_6,119,0,119,37
