treatment,cluster_params,time,cluster_id,back_cluster_id,num_correct,num_wrong,total,order
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_76,none,5,0,5,0
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_75,none,6,0,6,1
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_74,none,6,0,6,2
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_73,none,11,0,11,3
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_71,none,10,0,10,4
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_70,none,5,0,5,5
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_69,none,8,0,8,6
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_68,none,16,0,16,7
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_67,none,6,0,6,8
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_66,none,5,0,5,9
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_65,none,6,0,6,10
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_63,none,8,0,8,11
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_62,none,5,0,5,12
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_61,none,5,0,5,13
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_64,none,6,0,6,14
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_59,none,10,0,10,15
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_58,none,36,0,36,16
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_57,none,9,0,9,17
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_56,none,10,0,10,18
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_55,none,7,0,7,19
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_54,none,18,0,18,20
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_53,none,22,0,22,21
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_72,none,6,0,6,22
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_52,none,15,0,15,23
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_51,none,11,0,11,24
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_50,none,41,0,41,25
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_49,none,23,0,23,26
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_48,none,17,0,17,27
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_47,none,5,0,5,28
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_46,none,6,0,6,29
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_44,none,17,0,17,30
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_45,none,8,0,8,31
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_43,none,23,0,23,32
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_42,none,14,0,14,33
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_41,none,5,0,5,34
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_40,none,9,0,9,35
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_39,none,36,0,36,36
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_38,none,74,0,74,37
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_37,none,10,0,10,38
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_36,none,13,0,13,39
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_35,none,14,0,14,40
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_60,none,9,0,9,41
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_34,none,32,0,32,42
limited_res__rep_1,db_cluster__ep_0p1__mp_5__mode_both,5000,5000_33,none,5,0,5,43
