genotype_id,time,cluster_id,back_cluster_id,ancestor_id,ancestor_cluster_id,tree_depth,genome_length,genome_sequence,is_viable,gestation_time,fitness,phenotype_signature,not,nand,and,ornot,andnot,nor,xor,equals
276629,5000,5000_1,none,none,none,58,100,wzjagccqcticpdbcqsnuyccjcfcpcccqcxccaxccbvcecccccocvccevcvctcckvtcpbvyuupcuccxcccuucyywckcxzvfcaxgab,1,356,0.269663,00000000,0,0,0,0,0,0,0,0
276198,5000,5000_2,none,none,none,64,100,wzjagccqzdccphccqunuyccccfcecacqvtccayccbvcscnccckcvcqevccktcckbtcrbvyujpcuabpcvcuucyycckcxzvfcaxgab,1,353,0.549575,10000000,1,0,0,0,0,0,0,0
276198,5000,5000_2,none,none,none,64,100,wzjagccqzdccphccqunuyccccfcecacqvtccayccbvcscnccckcvcqevccktcckbtcrbvyujpcuabpcvcuucyycckcxzvfcaxgab,1,353,0.549575,10000000,1,0,0,0,0,0,0,0
276195,5000,5000_8,none,none,none,60,100,wzjagccqcdccycccqujuyccccfcpcqcqctccaycebvceccdccocvccevcncucukltypbvyuupcuccacycuucyycckcxzvfcaxgab,1,357,0.268908,00000000,0,0,0,0,0,0,0,0
276195,5000,5000_8,none,none,none,60,100,wzjagccqcdccycccqujuyccccfcpcqcqctccaycebvceccdccocvccevcncucukltypbvyuupcuccacycuucyycckcxzvfcaxgab,1,357,0.268908,00000000,0,0,0,0,0,0,0,0
276623,5000,5000_1,none,none,none,58,100,vhjagcxqkdfcccccqlnuyccccfcpcccqetccwyccbvbecccccbcccxrvccccdcyetmpxmyuupcucccaccbucyyccccxzvfcaxgab,0,0,0,00000000,0,0,0,0,0,0,0,0
275152,5000,5000_0,none,none,none,54,100,wzjagccqvtcchcswqunuibcccfcpcdcqcfcjayccbvcccccccbcccdeucccccckvtcpbxyuupcucccwccuxcyyccccxzvfcaxgab,1,366,0.52459,00001000,0,0,0,0,1,0,0,0
276533,5000,5000_2,none,none,none,57,100,wzjagcuqcdcnpcccqunuyccccocpcccmctccbyccbvwjccccvocvycepfcctcsqvtvpbvpuupcuccxcccuucyycckcxzvfcaxgab,1,352,0.545455,10000000,1,0,0,0,0,0,0,0
276533,5000,5000_2,none,none,none,57,100,wzjagcuqcdcnpcccqunuyccccocpcccmctccbyccbvwjccccvocvycepfcctcsqvtvpbvpuupcuccxcccuucyycckcxzvfcaxgab,1,352,0.545455,10000000,1,0,0,0,0,0,0,0
275151,5000,5000_2,none,none,none,56,100,wzjagccpcdcclccwwiavpcwicfypcdcqctccabccjvcwccvacqccccejcacccexjccueyyuupcudfccwcuucyyccccxzvfcaxgab,1,363,0.517906,10000000,1,0,0,0,0,0,0,0
276536,5000,5000_7,none,none,none,56,100,wzjagcctkenyheccqcnyyjcdcockcujqdcccccccxsacccaccmcmicijccxpcctvccpcyyefucucycuccuucyfccccczvfcapgab,1,1347,0.202673,10010000,1,0,0,1,0,0,0,0
276539,5000,5000_8,none,none,none,53,100,wzjazccpcdcccymcwuauyccccfcpcdcqcmccayccjvcccccacqcccmejcacdcexvcyueyyuupcuccccwcuucyqmdccxzvfcaxgab,0,0,0,00000000,0,0,0,0,0,0,0,0
276449,5000,5000_2,none,none,none,54,100,wzjagccqpdcccccwqunjyccacfcpcdmqctcjaycbbvcccecccscctceccccccmkvtcpbaauupcuccccccuuayyccrcxzvfcaxgab,1,365,0.526027,10000000,1,0,0,0,0,0,0,0
277918,5000,5000_3,none,none,none,59,100,wzjaeccyxoccgckcqsnuyccvjfcpccqqctccayclbvrccdlccbccccxyccqkyckvtcvbxyuupcuccecccuucyyccccozvfcaxgab,1,359,1.08078,10000100,1,0,0,0,0,1,0,0
278302,5000,5000_8,none,none,none,62,100,wzcagcctcdcqceccqcnbxnbcccakpucqdccccyycdcauscacccimbjijcczpzuuvkcpcyycfwcucycccduucyfccbcczvncaxgab,1,1221,0.228501,01000000,0,1,0,0,0,0,0,0
277668,5000,5000_1,none,none,none,64,100,wzcagchtcdcqcenoqcyoxcbcqcaepubqdccccyccccaqscaqcciqbcijccfpzuuvccpcyycfwcucycccduucyfccbcczvncaxgab,1,1273,0.209741,01000000,0,1,0,0,0,0,0,0
277668,5000,5000_1,none,none,none,64,100,wzcagchtcdcqcenoqcyoxcbcqcaepubqdccccyccccaqscaqcciqbcijccfpzuuvccpcyycfwcucycccduucyfccbcczvncaxgab,1,1273,0.209741,01000000,0,1,0,0,0,0,0,0
277666,5000,5000_2,none,none,none,60,100,wzjagccqpdcrpcccqumuyccocfcpcccqctccayccbvcecccbnoqvcrevccctcckltyuivyuupcuccxcjcuccyycckxxzvfcaxgab,1,364,0.521978,10000000,1,0,0,0,0,0,0,0
277915,5000,5000_1,none,none,none,65,100,wajagcvqcdccceccvetqyccrcfdzcccwcscoauccbvceccccccccjkevcvccckkvtcpbxyuuycucjocccuucyyccccxzvfcaxgab,1,354,0.262712,00000000,0,0,0,0,0,0,0,0
277664,5000,5000_3,none,none,none,56,100,wzjagcuqcdcnpcccquvoyccccocpcccqctccayccbvceccccvocvycevfcctcfqvtcpxvyuupcuccxcccuucyycckcxzvfcaxgab,1,349,1.08883,10000100,1,0,0,0,0,1,0,0
277910,5000,5000_2,none,none,none,60,100,wzjagccqxdcrpcccqumuyccccfcpcccqctccaycwbvcecyccmoqvccevycctccklmyubvpuupcuccxcjcuccyycckxxzvfcaxgab,1,361,0.531856,10000000,1,0,0,0,0,0,0,0
